sentence_id,words,labels
0,你,O
0,的,O
0,空少,O
0,✈,O
0,小,O
0,爸爸,O
0,空少,O
0,一枚,O
0,Base,O
0,（,O
0,坐标,O
0,）,O
0,哈尔滨,O
0,！,O
0,师兄,O
0,独家,O
0,入会,O
0,员群,O
0,免费,O
0,更新,O
0,、,O
0,喜欢,O
0,精瘦,O
0,排骨,O
0,无毛,O
0,腹肌,O
0,肌肉,O
0,世,O
0,超级,O
0,狠,O
0,的,O
0,S,O
0,主,O
0,！,O
0,出售,O
0,原味,O
0,袜子,O
0,一,O
0,内裤,O
0,、,O
0,各种,O
0,情趣,O
0,用,O
0,品,O
0,（,O
0,零号,O
0,胶囊,O
0,、,O
0,电子,O
0,烟,O
0,、,O
0,增大,O
0,增粗,O
0,等等,O
0,）,O
0,QQ,O
0,:,O
0,2165139936,B-qq
0,、,O
0,微,O
0,🌍,O
0,kfsx333333,B-wechat
2,飞哥,O
2,查档,O
2,/,O
2,手机,O
2,定位,O
2,/,O
2,开房,O
2,记录,O
2,/,O
2,户籍,O
2,信息,O
2,/,O
2,通话记录,O
2,/,O
2,查,O
2,身份,O
2,信息,O
2,/,O
2,名下,O
2,财产,O
2,/,O
2,微信,O
2,/,O
2,车辆,O
2,信息,O
2,/,O
2,开房,O
2,飞哥,O
2,查档,O
2,最好,O
2,的,O
2,查档,O
2,大师,O
2,开房,O
2,记录,O
2,丨,O
2,同住,O
2,记录,O
2,丨,O
2,全家,O
2,户籍,O
2,丨,O
2,外卖,O
2,地址,O
2,丨,O
2,快递,O
2,地址,O
2,丨,O
2,手机,O
2,定位,O
2,丨,O
2,企业,O
2,信息,O
2,丨,O
2,婚姻,O
2,信息,O
2,丨,O
2,名下,O
2,手机号,O
2,丨,O
2,银行,O
2,流水,O
2,余额,O
2,丨,O
2,三网,O
2,通话记录,O
2,电报,O
2,频道,O
2,：,O
2,url,B-tg
3,最新,O
3,幼女,O
3,人兽,O
3,小马,O
3,🩲,O
3,电报,O
3,群幼幼,O
3,破处,O
3,父女,O
3,人兽,O
3,迷奸,O
3,.,O
3,乱伦,O
3,母子,O
3,母狗,O
3,幼女,O
3,📢,O
3,电报,O
3,群,O
3,✈,O
3,url,B-tg
3,🎉,O
3,🎉,O
3,在线看,O
3,🎉,O
3,🎉,O
3,不用,O
3,下载,O
3,！,O
3,各种,O
3,稀缺,O
3,各种,O
3,绝版,O
3,只有,O
3,你,O
3,想不到,O
3,没有,O
3,你,O
3,看不到,O
3,,O
3,点赞,O
3,评论,O
3,免费送,O
3,交友,O
3,群,O
3,family,O
4,世界杯,O
4,开云,O
4,火狐,O
4,BOB,O
4,开云,O
4,体育,O
4,url,O
4,火狐,O
4,体育,O
4,url,O
4,BOB,O
4,体育,O
4,url,O
5,印度,O
5,代购,O
5,-,O
5,VX,O
5,:,O
5,SSZX12000,B-wechat
5,电报,O
5,客服,O
5,：,O
5,url,B-tg
5,VX,O
5,:,O
5,SSZX12000,B-wechat
5,VX,O
5,:,O
5,2799586117,B-wechat
6,世界杯,O
6,投注,O
6,平台,O
6,世界杯,O
6,指定,O
6,投注站,O
6,：,O
6,开云,O
6,体育,O
6,url,O
6,科比,O
6,体育,O
6,url,O
6,八戒,O
6,体育,O
6,url,O
6,ROR,O
6,体育,O
6,url,O
7,Autumn,O
7,灰产,O
7,网赚,O
7,大师,O
7,🔥,O
7,卡券,O
7,洗,O
7,货源,O
7,头,O
7,，,O
7,全网,O
7,最,O
7,真实,O
7,项目,O
7,🅾,O
7,️,O
7,项目,O
7,一天,O
7,利润,O
7,2000,O
7,+,O
7,多劳多得,O
7,🔥,O
7,0,O
7,押金,O
7,、,O
7,0,O
7,风险,O
7,、,O
7,秒,O
7,回款,O
7,♻,O
7,️,O
7,24,O
7,小时,O
7,自动,O
7,发货,O
7,♻,O
7,️,O
7,项目,O
7,了解,O
7,👇,O
7,👇,O
7,唯一,O
7,telegram,O
7,客服,O
7,号,O
7,：,O
7,url,B-tg
10,世界杯,O
10,下注,O
10,世界杯,O
10,直播,O
10,网址,O
10,：,O
10,url,O
10,备用,O
10,网址,O
10,：,O
10,url,O
10,TG,O
10,:,O
10,@,B-tg
10,Lw0369,I-tg
10,充值,O
10,10000,O
10,送,O
10,1000,O
10,自动,O
10,到,O
10,账,O
10,无,O
10,要求,O
11,印度,O
11,代购,O
11,电报,O
11,客服,O
11,：,O
11,url,B-tg
11,VX,O
11,:,O
11,SSZX12000,B-wechat
11,VX,O
11,:,O
11,2799586117,B-wechat
12,武汉,O
12,|,O
12,九德,O
12,软件,O
12,|,O
12,TG,O
12,@,B-tg
12,jiude168,I-tg
12,九德仅,O
12,此,O
12,唯一,O
12,电报,O
12,账号,O
12,：,O
12,url,B-tg
12,1,O
12,.,O
12,海外,O
12,营销,O
12,软件,O
12,出售,O
12,及,O
12,定制,O
12,2,O
12,.,O
12,推,O
12,特发,O
12,推,O
12,账号,O
12,批发,O
12,出售,O
12,3,O
12,.,O
12,万粉,O
12,智能,O
12,互推,O
12,软件,O
12,出售,O
12,4,O
12,.,O
12,推特,O
12,协议,O
12,采集,O
12,私信,O
12,上粉,O
12,软件,O
12,出售,O
13,乐鱼,O
13,体育,O
13,|,O
13,九德,O
13,软件,O
13,|,O
13,TG,O
13,@,B-tg
13,jiude168,I-tg
13,九德仅,O
13,此,O
13,唯一,O
13,电报,O
13,账号,O
13,：,O
13,url,B-tg
13,1,O
13,.,O
13,海外,O
13,营销,O
13,软件,O
13,出售,O
13,及,O
13,定制,O
13,2,O
13,.,O
13,推,O
13,特发,O
13,推,O
13,账号,O
13,批发,O
13,出售,O
13,3,O
13,.,O
13,万粉,O
13,智能,O
13,互推,O
13,软件,O
13,出售,O
13,4,O
13,.,O
13,推特,O
13,协议,O
13,采集,O
13,私信,O
13,上粉,O
13,软件,O
13,出售,O
14,BOB,O
14,体育,O
14,官方网站,O
14,：,O
14,url,O
14,url,O
14,url,O
15,周三,O
15,～,O
15,基站,O
15,抖音,O
15,引流,O
15,灰产,O
15,项目,O
15,咨询,O
15,10,O
15,:,O
15,30,O
15,--,O
15,3,O
15,:,O
15,0,O
15,✈,O
15,url,B-tg
15,海洋,O
15,科技,O
15,灰产带,O
15,飞,O
15,url,B-tg
16,胁迫,O
16,自毁,O
16,S,O
16,暴虐,O
16,智障,O
16,母猪,O
16,反差,O
16,婊,O
16,西安,O
16,29,O
16,优先,O
16,，,O
16,SM,O
16,重度,O
16,爱好者,O
16,，,O
16,qq,O
16,：,O
16,2106183135,B-qq
16,粗口,O
16,羞辱,O
16,，,O
16,洗脑,O
16,控制,O
16,，,O
16,胁迫,O
16,压榨,O
16,，,O
16,强制,O
16,调教,O
16,，,O
16,人格,O
16,践踏,O
16,，,O
16,曝光,O
16,，,O
16,收,O
16,母狗,O
16,，,O
16,收,O
16,重度,O
16,倒贴,O
16,母猪,O
16,，,O
16,收,O
16,账单,O
16,奴,O
16,，,O
16,收,O
16,无脑,O
16,吐,O
16,金币,O
16,反差,O
16,婊,O
16,，,O
16,配种,O
16,母猪,O
16,，,O
16,丧志,O
16,母驴,O
16,，,O
16,淫虐,O
16,大学生,O
16,高中生,O
16,初中生,O
16,，,O
16,无脑,O
16,ATM,O
16,主动,O
16,加,O
16,祖宗,O
16,。,O
18,世界杯,O
18,下注,O
18,官方网站,O
18,：,O
18,url,O
18,url,O
18,url,O
19,Ray,O
19,Munoz,O
19,3x,O
19,🏆,O
19,17x,O
19,🏆,O
19,7x,O
19,🏆,O
19,🎮,O
19,Gaming,O
19,:,O
19,url,O
19,User,O
19,:,O
19,Raiderray,O
20,世界杯,O
20,开云,O
20,体育,O
20,投注,O
20,平台,O
20,世界杯,O
20,投注,O
20,网址,O
20,：,O
20,url,O
20,url,O
20,url,O
20,url,O
21,Erna,O
21,Lincoln,O
21,🚠,O
21,😐,O
21,福尔摩斯,O
21,/,O
21,社工,O
21,库,O
21,/,O
21,查,O
21,身份证,O
21,号码,O
21,/,O
21,查,O
21,开房,O
21,记录,O
21,/,O
21,查小三,O
21,/,O
21,查,O
21,淘宝,O
21,地址,O
21,/,O
21,查,O
21,外卖,O
21,SKI,O
21,专业,O
21,查询,O
21,各种,O
21,信息,O
21,请,O
21,认准,O
21,您,O
21,的,O
21,查档,O
21,专家,O
21,TG,O
21,：,O
21,@,B-tg
21,mosi00000,I-tg
21,url,B-tg
22,世界杯,O
22,世界杯赛,O
22,程,O
22,世界杯,O
22,直播,O
22,世界杯,O
22,赔率,O
22,卡塔尔,O
22,世界杯,O
22,世界杯,O
22,投注,O
22,足彩,O
22,世界杯,O
22,预测,O
22,世界杯,O
22,竞猜,O
22,开云,O
22,体育,O
22,url,O
22,完美,O
22,体育,O
22,url,O
22,八戒,O
22,体育,O
22,url,O
22,BOB,O
22,体育,O
22,url,O
23,豪豪,O
23,一个,O
23,6,O
23,的,O
23,男高,O
23,投,O
23,喂,O
23,加微信,O
23,:,O
23,WJH5002240628,B-wechat
25,油管,O
25,YouTube,O
25,刷,O
25,粉丝,O
25,买,O
25,订阅,O
25,刷,O
25,播放,O
25,量,O
25,加点,O
25,赞买,O
25,时长,O
25,推特刷,O
25,粉丝,O
25,买,O
25,粉丝,O
25,刷点,O
25,赞上,O
25,热门,O
25,-,O
25,深圳,O
25,-,O
25,广州,O
25,-,O
25,成都,O
25,自助,O
25,网址,O
25,url,O
26,💗,O
26,如烟,O
26,💗,O
26,视频,O
26,1v1,O
26,看,O
26,主页,O
26,㊙,O
26,️,O
26,欢迎,O
26,下载,O
26,/,O
26,裸聊,O
26,/,O
26,磕炮,O
26,/,O
26,视频,O
26,1v1,O
26,视频,O
26,聊天,O
26,分享,O
26,快速,O
26,加入,O
26,👇,O
26,电报,O
26,：,O
26,url,B-tg
26,免费,O
26,下载,O
26,，,O
26,24,O
26,小时,O
26,营业,O
26,，,O
26,诚信,O
26,可靠,O
26,，,O
26,欢迎,O
26,比价,O
26,㊙,O
26,️,O
26,，,O
26,🉑,O
26,指挥,O
26,❤,O
26,️,O
27,G,O
27,推上,O
27,推,O
27,下,O
27,两面派,O
27,，,O
27,想,O
27,和,O
27,你,O
27,聊,O
27,长期,O
27,才,O
27,会,O
27,考虑周到,O
27,，,O
27,接,O
27,调教,O
27,，,O
27,也,O
27,收想,O
27,长期,O
27,挨骂,O
27,的,O
27,ATM,O
27,奴,O
27,，,O
27,有,O
27,一大堆,O
27,任务,O
27,和,O
27,计划,O
27,可以,O
27,用,O
27,，,O
27,梦想,O
27,是,O
27,养,O
27,一堆,O
27,宠物,O
27,(,O
27,大概,O
27,),O
27,，,O
27,目前,O
27,家里,O
27,的,O
27,小,O
27,母狗,O
